epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2124.84,1.65096,2.83621,2.1952,0.01577,2.38495,0.3284,0.27434,0.20947,0.08787,0.29273,0.23176,0.15703,0.04633,1.63106,2.68058,2.34896,0.02602,0,0.00199856,0.00199856,0.00199856
2,4189.51,1.81822,3.09527,2.52085,0.01789,2.75586,0.37688,0.29031,0.24696,0.10559,0.3414,0.24085,0.18788,0.0569,1.67295,2.65476,2.34436,0.02688,0,0.00198781,0.00198781,0.00198781
3,6245.74,1.78268,3.05122,2.46775,0.01749,2.6957,0.37042,0.28765,0.23035,0.09672,0.32925,0.24817,0.17036,0.04906,1.60718,2.69251,2.62351,0.02526,0,0.00195155,0.00195155,0.00195155
4,8306.63,1.76326,3.01622,2.42653,0.01712,2.62237,0.4202,0.32091,0.28474,0.12013,0.39431,0.27172,0.21853,0.06399,1.60095,2.5564,2.17,0.02514,0,0.0018921,0.0018921,0.0018921
5,10360.1,1.72884,2.96442,2.365,0.01678,2.52786,0.38221,0.31426,0.26717,0.11656,0.34334,0.25824,0.19643,0.0605,1.62104,2.61811,2.15166,0.02568,0,0.00181093,0.00181093,0.00181093
6,12422.7,1.70557,2.92556,2.33243,0.01651,2.51089,0.4355,0.341,0.30457,0.1381,0.39982,0.29053,0.23299,0.0703,1.55916,2.47709,2.05668,0.02394,0,0.00171004,0.00171004,0.00171004
7,14480.7,1.68297,2.89766,2.28932,0.01611,2.44307,0.44022,0.34132,0.30923,0.1397,0.3868,0.27755,0.22309,0.0669,1.5487,2.53863,2.03853,0.02374,0,0.00159191,0.00159191,0.00159191
8,17854.6,1.65384,2.84494,2.25079,0.01569,2.41389,0.44678,0.35706,0.32332,0.15102,0.39749,0.30162,0.25294,0.08082,1.53517,2.46903,2.03419,0.02391,0,0.00145945,0.00145945,0.00145945
9,21518.7,1.63366,2.81464,2.20832,0.0156,2.37248,0.44482,0.35862,0.3254,0.15301,0.41142,0.31066,0.25155,0.07901,1.49974,2.45933,2.00759,0.02279,0,0.00131593,0.00131593,0.00131593
10,25418.2,1.61017,2.75509,2.1301,0.01504,2.27913,0.46904,0.38434,0.3614,0.17287,0.43234,0.33112,0.28335,0.09395,1.5118,2.39164,1.87393,0.02283,0,0.00116487,0.00116487,0.00116487
11,30036.9,1.58957,2.73163,2.0814,0.01486,2.21886,0.50335,0.37725,0.37321,0.18123,0.45271,0.33067,0.30259,0.09941,1.46888,nan,nan,0.02202,0,0.00101,0.00101,0.00101
12,33454.5,1.5519,2.68281,2.03949,0.01441,2.14336,0.49282,0.39651,0.38581,0.18605,0.45422,0.34642,0.31075,0.09922,1.45564,2.35334,1.84541,0.02176,0,0.00085513,0.00085513,0.00085513
13,36899.3,1.53813,2.65283,1.992,0.01411,2.11795,0.494,0.40342,0.39181,0.19842,0.45382,0.35374,0.31906,0.10811,1.44606,nan,nan,0.0213,0,0.000704073,0.000704073,0.000704073
14,40472.2,1.52041,2.62411,1.95395,0.014,2.06815,0.5249,0.40356,0.40642,0.20653,0.48711,0.35773,0.33648,0.11382,nan,nan,nan,nan,0,0.000560549,0.000560549,0.000560549
15,43988.3,1.48928,2.58467,1.91647,0.01357,2.01277,0.51784,0.42005,0.40949,0.20945,0.48121,0.36904,0.33701,0.11635,1.40035,2.3078,1.77498,0.02047,0,0.000428093,0.000428093,0.000428093
16,47334.3,1.60332,2.46074,1.89593,0.02027,1.59159,0.53832,0.4318,0.42938,0.22103,0.49598,0.38035,0.35318,0.12329,1.40223,2.29224,1.71303,0.02048,0,0.000309964,0.000309964,0.000309964
17,50792.6,1.56471,2.40333,1.8145,0.01945,1.50179,0.54007,0.4369,0.43715,0.22732,0.50104,0.38944,0.36536,0.12688,1.40834,nan,nan,0.02046,0,0.000209073,0.000209073,0.000209073
18,54244,1.54968,2.38625,1.75746,0.01902,1.46497,0.55174,0.43646,0.44355,0.23152,0.51742,0.38427,0.36795,0.12913,1.40263,nan,nan,0.0203,0,0.000127904,0.000127904,0.000127904
19,57612.4,1.53533,2.36599,1.74042,0.01895,1.43946,0.54494,0.43513,0.44049,0.23134,0.50777,0.38124,0.36623,0.12957,1.39965,nan,nan,0.02031,0,6.8454e-05,6.8454e-05,6.8454e-05
20,60932.2,1.52369,2.35406,1.72212,0.01872,1.41875,0.55151,0.43646,0.44287,0.23268,0.50539,0.38728,0.36551,0.12919,1.39347,nan,nan,0.02022,0,3.21885e-05,3.21885e-05,3.21885e-05
